Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
224004055,Mother Mary Comes to Me,Arundhati Roy,"Roy, Arundhati",,"=""1668094711""","=""9781668094716""",5.0,Scribner,Hardcover,331,2025,2025,2026/06/19,2026/06/01,,,read,,,,1,0
45858815,My Mother Laughs,Chantal Akerman,"Akerman, Chantal","Daniella Shreir, Eileen Myles","=""0995716234""","=""9780995716230""",5.0,Silver Press,Paperback,209,2019,2013,2026/06/15,2026/06/10,,,read,,,,1,0
762821,A Sentimental Journey,Laurence Sterne,"Sterne, Laurence",,"=""0140437797""","=""9780140437799""",3.0,Penguin Classics,Paperback,170,2002,1768,2026/06/01,2026/05/29,,,read,"Read this after studying Tristram Shandy ! I much prefer TS, but it was nice to read some Yorick POV too. Quite bawdy, yet TS was more creative on that one. Lastly, a great occasion to mock both the English and the French. ",,,1,0
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",5.0,New York Review Books,Paperback,292,2006,1965,2026/05/29,2025/09/20,,,read,,,,1,0
200782931,Reflections in a Golden Eye,Carson McCullers,"McCullers, Carson",,"=""0141184450""","=""9780141184456""",0,Penguin Classic,Paperback,101,2018,1941,,2026/05/29,to-read,to-read (#113),to-read,,,,0,0
231852385,MELANCOLIA,Mircea Cărtărescu,"Cărtărescu, Mircea",,"=""2369149930""","=""9782369149934""",4.0,LIBRETTO,,304,2025,2019,2026/05/28,2026/05/28,,,read,,,,1,0
63376122,Om udregning af rumfang IV,Solvej Balle,"Balle, Solvej",,"=""8797184802""","=""9788797184806""",4.0,Pelagraf,Paperback,175,2022,2022,2026/04/26,2025/04/23,,,read,,,,1,0
209833,"If Not, Winter: Fragments of Sappho (Vintage Contemporaries)",Sappho,"Sappho, Sappho",Anne Carson,"=""0375724516""","=""9780375724510""",5.0,Vintage Books,Paperback,416,2003,-550,2026/04/25,2026/04/25,,,read,,,,1,0
235843811,Poetica vulgaris,Medeea Iancu,"Iancu, Medeea",,"=""""","=""""",0,editura frACTalia,Unknown Binding,190,2025,,,2026/04/25,to-read,to-read (#112),to-read,,,,0,0
2534041,La Porte,Magda Szabó,"Szabó, Magda",Chantal Philippe,"=""2878582004""","=""9782878582000""",4.0,Viviane Hamy,Paperback,300,2005,1987,2026/04/11,2026/04/01,,,read,"Definitely a 4,5 star read, I have never read a book like this before in terms of its characters and themes, very impressed by the French translation too. I would encourage anyone to check it out. I don’t think that Emerence’s character ever becomes redundant. In fact, I think that all the obsessions built through and about her are well done. The last few pages of the book were a bit underwhelming, yet very intriguing read for sure. My first piece of Hungarian literature, so very curious to read more! ",,,1,0
