Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1582996,"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,"Clare, Cassandra",,"=""1416914293""","=""9781416914297""",0,Margaret K. McElderry Books,Hardcover,464,2008,2008,,2025/08/26,,,read,,,,1,0
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",0,Margaret K. McElderry Books,Hardcover,485,2007,2007,,2025/08/26,,,read,,,,1,0
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,"=""0375856110""","=""9780375856112""",0,Alfred A. Knopf,Hardcover,849,2011,2011,,2025/08/26,,,read,,,,1,0
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",0,Alfred A. Knopf,Hardcover,748,2008,2008,,2025/08/26,,,read,,,,1,0
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0375840400""","=""9780375840401""",0,Knopf Books for Young Readers,Paperback,704,2007,2005,,2025/08/26,,,read,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",0,Alfred A. Knopf,Paperback,503,2005,2002,,2025/08/26,,,read,,,,1,0
15997,Paradise Lost,John Milton,"Milton, John",,"=""0140424393""","=""9780140424393""",0,Penguin Classics,Paperback,453,2003,1667,,2025/08/26,to-read,to-read (#288),to-read,,,,0,0
15645,Inferno,Dante Alighieri,"Alighieri, Dante",Anthony Esolen,"=""0812970063""","=""9780812970067""",0,Modern Library,Kindle Edition,490,2022,1321,,2025/08/26,to-read,to-read (#287),to-read,,,,0,0
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan","Anne Perry, Mark Hallaq","=""""","=""""",0,Signet,Mass Market Paperback,256,2001,1902,,2025/08/26,,,read,,,,1,0
92303,The Importance of Being Earnest,Oscar Wilde,"Wilde, Oscar",,"=""158049580X""","=""9781580495806""",0,Prestwick House,Paperback,89,2005,1895,,2025/08/26,to-read,to-read (#286),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,Penguin Books,Paperback,1023,2003,1605,,2025/08/26,to-read,to-read (#285),to-read,,,,0,0
24213,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis","Martin Gardner, John Tenniel","=""""","=""""",0,Penguin Group (USA),Paperback,239,2000,1871,,2025/08/26,,,read,,,,1,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,"=""1324001801""","=""9781324001805""",0,W. W. Norton & Company,Hardcover,848,2023,-750,,2025/08/26,to-read,to-read (#284),to-read,,,,0,0
22910900,The Rest of Us Just Live Here,Patrick Ness,"Ness, Patrick",,"=""1406331163""","=""9781406331165""",0,Walker Books,Hardcover,348,2015,2015,,2025/08/26,,,read,,,,1,0
21969786,More Than This,Patrick Ness,"Ness, Patrick",,"=""1406350486""","=""9781406350487""",0,Walker Books Ltd,Paperback,480,2014,2013,,2025/08/26,,,read,,,,1,0
20758105,"Monsters of Men (Chaos Walking, #3)",Patrick Ness,"Ness, Patrick",,"=""0763676195""","=""9780763676193""",0,Candlewick,Paperback,643,2014,2010,,2025/08/26,,,read,,,,1,0
20758103,"The Ask and the Answer (Chaos Walking, #2)",Patrick Ness,"Ness, Patrick",,"=""0763676179""","=""9780763676179""",0,Candlewick,Paperback,553,2014,2009,,2025/08/26,,,read,,,,1,0
20758104,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,"=""0763676187""","=""9780763676186""",0,Candlewick Press,Paperback,528,2014,2008,,2025/08/26,,,read,,,,1,0
20453480,Two Boys Kissing,David Levithan,"Levithan, David",,"=""""","=""""",0,Egmont UK,Paperback,239,2014,2013,,2025/08/26,,,read,,,,1,0
6567017,"Will Grayson, Will Grayson",John  Green,"Green, John",David Levithan,"=""0525421580""","=""9780525421580""",0,Dutton Books,Hardcover,320,2010,2010,,2025/08/26,,,read,,,,1,0
6442769,Paper Towns,John  Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",0,Speak,Paperback,305,2009,2008,,2025/08/26,,,read,,,,1,0
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",0,HarperCollins Children's Book's,Hardcover,531,2013,2013,,2025/08/26,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",0,Katherine Tegen Books,Paperback,487,2012,2011,,2025/08/26,,,read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0007442912""","=""9780007442911""",0,HarperCollins Children's Books,Hardcover,525,2012,2012,,2025/08/26,,,read,,,,1,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",0,Vintage International,Paperback,308,1991,1947,,2025/08/26,to-read,to-read (#283),to-read,,,,0,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",0,Ballantine Books,Mass Market Paperback,296,1987,1928,,2025/08/26,to-read,to-read (#282),to-read,,,,0,0
99561,Looking for Alaska,John  Green,"Green, John",,"=""1435249151""","=""9781435249158""",0,Speak,Paperback,221,2006,2005,,2025/08/26,,,read,,,,1,0
12893742,"The Serpent's Shadow (The Kane Chronicles, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140575""","=""9781423140573""",0,Hyperion Books,Hardcover,406,2012,2012,,2025/08/26,,,read,,,,1,0
9067850,"The Throne of Fire (The Kane Chronicles, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140567""","=""9781423140566""",0,Hyperion Books for Children,Hardcover,452,2011,2011,,2025/08/26,,,read,,,,1,0
18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",0,Disney-Hyperion Books,Hardcover,516,2014,2014,,2025/08/26,,,read,,,,1,0
7090447,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,"Riordan, Rick",,"=""1423113381""","=""9781423113386""",0,Disney Hyperion,Hardcover,528,2010,2010,,2025/08/26,,,read,,,,1,0
12127810,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,"Riordan, Rick",,"=""1423146727""","=""9781423146728""",0,Disney-Hyperion Books,Hardcover,597,2013,2013,,2025/08/26,,,read,,,,1,0
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140591""","=""9781423140597""",0,Disney-Hyperion Books,Hardcover,521,2011,2011,,2025/08/26,,,read,,,,1,0
12127750,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,"Riordan, Rick",,"=""1423140605""","=""9781423140603""",0,Disney-Hyperion Books,Hardcover,586,2012,2012,,2025/08/26,,,read,,,,1,0
